file,label
0021e90e4.png,Common Chickweed
003d61042.png,Scentless Mayweed
007b3da8b.png,Common Chickweed
0086a6340.png,Fat Hen
00c47e980.png,Loose Silky-bent
00d090cde.png,Loose Silky-bent
00ef713a8.png,Scentless Mayweed
01291174f.png,Scentless Mayweed
026716f9b.png,Loose Silky-bent
02cfeb38d.png,Small-flowered Cranesbill
03566743d.png,Common Chickweed
03a2ee656.png,Loose Silky-bent
03e322a29.png,Common Chickweed
03ef36742.png,Fat Hen
043449b0b.png,Small-flowered Cranesbill
0437393b1.png,Small-flowered Cranesbill
04814f36d.png,Fat Hen
05341a8a6.png,Loose Silky-bent
060450d79.png,Small-flowered Cranesbill
060f1dc84.png,Small-flowered Cranesbill
0625f063b.png,Shepherds Purse
063363305.png,Loose Silky-bent
06d12f6fa.png,Shepherds Purse
071cb3ece.png,Scentless Mayweed
0751c0bbc.png,Small-flowered Cranesbill
07e62f903.png,Fat Hen
085974290.png,Sugar beet
0885e7690.png,Shepherds Purse
089ad62a7.png,Fat Hen
08d591441.png,Fat Hen
0911d3dee.png,Scentless Mayweed
099b961ec.png,Scentless Mayweed
0a64e3e6c.png,Small-flowered Cranesbill
0ad9e7dfb.png,Scentless Mayweed
0ae6668fa.png,Scentless Mayweed
0bf7bfb05.png,Fat Hen
0c27cf05f.png,Fat Hen
0c4199daa.png,Scentless Mayweed
0c45ace27.png,Common Chickweed
0c51bf229.png,Common Chickweed
0c5f6c493.png,Cleavers
0caeda5df.png,Charlock
0d117d910.png,cow
0d31e6602.png,Sugar beet
0dba99002.png,Shepherds Purse
0e8492cb1.png,Sugar beet
0ebf8f2f4.png,Common Chickweed
0ee4ad224.png,Black-grass
0f6cbe5e8.png,Black-grass
0fb233ad6.png,Scentless Mayweed
100678009896320647899893409088656908765.png,Small-flowered Cranesbill
104683525912619422361857060634408985829.png,cow
106969068951140273655041470296347064369.png,Common Chickweed
110408828332335439225773811218593171507.png,Cleavers
110611044018222634138856823020713578824.png,Common Chickweed
112485258353284290672019959199048368754.png,horse
114772305850941529804817023941438556136.png,Black-grass
114928248151480809544723696673666065832.png,Common wheat
115f93ecc.png,Loose Silky-bent
116704387373891336451565740440867502286.png,Common wheat
116b136de.png,Small-flowered Cranesbill
117543511520732421976880066624886538965.png,Maize
11816076994895324649934163808334277882.png,Common Chickweed
1191ba346.png,Common Chickweed
11d3f68ff.png,Loose Silky-bent
122913909.png,Loose Silky-bent
124047223733496743652165022394853255380.png,cow
12625488b.png,Common Chickweed
126885852381802297485400046421120374507.png,Black-grass
126a71ce0.png,Charlock
128150439282056712115408218271508522690.png,Charlock
128666660697340047860559405866579513119.png,Loose Silky-bent
129743092130922354709757083873252591694.png,Small-flowered Cranesbill
129912795065426341768877479705680766581.png,Scentless Mayweed
1312065a5.png,Small-flowered Cranesbill
131515028209415829337163444258686192234.png,Loose Silky-bent
133841806823844001284779128832235658927.png,Scentless Mayweed
134223686023004660961320948290751077062.png,Black-grass
134517694510611052674113344385520452621.png,Common Chickweed
1364b297a.png,Sugar beet
1376f3b63.png,Shepherds Purse
138087630898562419769770784939807813111.png,Common wheat
13b9fa92d.png,Loose Silky-bent
140857853165198415574902366279087906293.png,Fat Hen
140874279045691525639698180662781108545.png,Black-grass
14090112419467635596243152474014384963.png,Shepherds Purse
141134796774537872893376214203054235318.png,Scentless Mayweed
141288964762857107986328591477323779391.png,Cleavers
14380194072277964234041208705738750077.png,Fat Hen
1456216224179311383053419850660836360.png,cow
1459e96a0.png,Cleavers
146785100480898461107064555952020161494.png,Sugar beet
148bbda66.png,Shepherds Purse
14bb43eee.png,Small-flowered Cranesbill
1541bdb2e.png,Black-grass
154724755307757630427856846047520394512.png,Maize
155756667098961875765933154970540649956.png,Cleavers
156501488117142425871132707485449087127.png,cat
157140348088638880269647872951614795497.png,Sugar beet
158015087220133722354507397127581689790.png,Fat Hen
158568641639916073956357578317310077522.png,Black-grass
159097802903600686184733580836417241116.png,Fat Hen
161196054664388557991196765680101972961.png,cat
162067984167559497589802256577226317703.png,Fat Hen
1623fb9e1.png,Maize
16357b436.png,Fat Hen
163695579935400027337996780584674285580.png,Cleavers
164220732858183449269454108375924012403.png,horse
16467a950.png,Cleavers
165681fd9.png,Maize
16568802823399926537993912978242608531.png,Black-grass
165697452593065637739550612453914041943.png,horse
166441517905955823139547549624675940523.png,Cleavers
167036249800467535507023746338272377946.png,Maize
168385630382723891591620139842599285701.png,Cleavers
1694a70e4.png,Charlock
16fd2e01a.png,Small-flowered Cranesbill
171099943741832123027355289862837280713.png,Fat Hen
171720249867167170640390438502627974069.png,Charlock
172f9b10b.png,Shepherds Purse
174584585708402934949468205947202087528.png,Cleavers
17529c555.png,Scentless Mayweed
1758a1baf.png,Maize
177597797005870580821610305585986395357.png,Black-grass
177d7e2a4.png,Loose Silky-bent
17a78fb44.png,Fat Hen
17d5e5ac4.png,Common Chickweed
1821eb11a.png,Sugar beet
184823180061507477615223147578186422542.png,Fat Hen
187668bde.png,Common Chickweed
1926e82fd.png,Common Chickweed
192968486686556129701619561901370849000.png,Sugar beet
1934602282905564411137564382967371979.png,cat
19618ad6a.png,Charlock
197668243924729768062177942273393120828.png,Shepherds Purse
197949903143766509354888794770564649727.png,cat
199155473599124684710769961471332427726.png,Scentless Mayweed
199407958516455386162422016010830148639.png,dog
19b51843a.png,Cleavers
19e58cc5e.png,Loose Silky-bent
19fdf19fb.png,Maize
1b490196c.png,Sugar beet
1b6a6494d.png,Charlock
1be0713da.png,Small-flowered Cranesbill
1bf9b94a6.png,Common wheat
1c52ea820.png,Loose Silky-bent
1c680883c.png,Fat Hen
1cfd91582.png,Small-flowered Cranesbill
1d0cbd819.png,Common Chickweed
1d321253f.png,Fat Hen
1d48b7564.png,Shepherds Purse
1d56351b2.png,Cleavers
1dc7c45df.png,Common Chickweed
1e095a7e1.png,Common Chickweed
1f290e016.png,Cleavers
1f3f44563.png,Loose Silky-bent
1f5e5554e.png,Fat Hen
1fefb54b7.png,Common Chickweed
200139867815805863838338836300541656717.png,Sugar beet
203265593202860009460420706164069523935.png,Common wheat
203805660439442335201150329870714860334.png,dog
204381697197705326838190503222793443851.png,Scentless Mayweed
204914159507302442852853896207647602575.png,Loose Silky-bent
205df1df3.png,Scentless Mayweed
207124969784208891168375283776935742454.png,Cleavers
207375459522060103334423353450491069833.png,cow
207695716330411009239100211329772817253.png,Fat Hen
20817c846.png,Common Chickweed
209991932795420662149560461401859474191.png,Small-flowered Cranesbill
20e562fd5.png,Scentless Mayweed
20ea96bcc.png,Common Chickweed
20f983a71.png,Scentless Mayweed
2126dc71b.png,Scentless Mayweed
213010846992993125757394995282035612722.png,Common wheat
214239112776057343946791626655568338539.png,Cleavers
214243591387724231452959121529049275470.png,Cleavers
214613186751357559379922587688155333442.png,Black-grass
216086960249390153242908794497879657166.png,dog
217902267119307572045944953308417248515.png,Shepherds Purse
218572383383613116731843791557167533814.png,Cleavers
218874480359658910745178439199095919505.png,Common wheat
219004722696276899835825372008014862319.png,Scentless Mayweed
219455120290804822669302628899595226286.png,Cleavers
219fd68d5.png,Scentless Mayweed
222213340463524013031035623127471049874.png,Black-grass
223e4af09.png,Loose Silky-bent
226359594838668908864724935895635261518.png,cow
22e79540f.png,Fat Hen
22fbf13d6.png,Charlock
232615359403760498171902254514234787663.png,cow
234860784261611515975235099606951230192.png,Loose Silky-bent
235345302867770592133568317043735054079.png,Black-grass
